;bioproject;study_title;study_type;study_abstract;verdict;study_description;study_attribute;matching_biosample_count;total_biosample_count;short_title;prevalence_raw;twin_study;healthy_study;species_study
116;ERP115493;Microbial communities in oil seeps from the Gulf of Mexico;Other;Crude oil and gases in the seabed provide an important energy source for seabed microorganisms. We investigated the role of archaea in the anaerobic degradation of alkanes in deep-sea oil seeps from the Gulf of Mexico. For that we performed 16S amplicon sequencing for bacteria and archaea in sediment samples collected from a cold seep (GeoB19351-14), from ambient sediment (GeoB19351-5) and from sediment sample with asphalt pieces (GeoB19331-1). The analysis showed distinct archaeal and bacteria communities in the cold seep and asphalt sediments compared to the ambient sediment. The sediments contain a substantial diversity of hydrocarbon-dependent archaea such as anaerobic methanotrophs (ANME), Candidatus Syntrophoarchaeum, Candidatus Methanoliparia and GoM-Arc1 archaea. To study the function of these archaea, we sequenced metagenomic libraries from DNA extracted from the cold seep sediment (7 libraries, GeoB19351-14) and the asphalt sediment (1 library, GeoB19331-1). We used these metagenomic libraries to obtained two metagenome-assembled genomes (MAGs) affiliated with Ca. Methanoliparia: one obtained from the cold seep sediment libraries and the second one obtained from the asphalt sediment library. Additionally, we did single cell sorting from sediment samples of the cold seep (GeoB19351-14) and performed sequencing to obtained a genomic library used to reconstruct a single amplified genome (SAG) affiliated to Candidatus Syntrophoarchaeum.;small;Crude oil and gases in the seabed provide an important energy source for seabed microorganisms. We investigated the role of archaea in the anaerobic degradation of alkanes in deep-sea oil seeps from the Gulf of Mexico. For that we performed 16S amplicon sequencing for bacteria and archaea in sediment samples collected from a cold seep (GeoB19351-14), from ambient sediment (GeoB19351-5) and from sediment sample with asphalt pieces (GeoB19331-1). The analysis showed distinct archaeal and bacteria communities in the cold seep and asphalt sediments compared to the ambient sediment. The sediments contain a substantial diversity of hydrocarbon-dependent archaea such as anaerobic methanotrophs (ANME), Candidatus Syntrophoarchaeum, Candidatus Methanoliparia and GoM-Arc1 archaea. To study the function of these archaea, we sequenced metagenomic libraries from DNA extracted from the cold seep sediment (7 libraries, GeoB19351-14) and the asphalt sediment (1 library, GeoB19331-1). We used these metagenomic libraries to obtained two metagenome-assembled genomes (MAGs) affiliated with Ca. Methanoliparia: one obtained from the cold seep sediment libraries and the second one obtained from the asphalt sediment library. Additionally, we did single cell sorting from sediment samples of the cold seep (GeoB19351-14) and performed sequencing to obtained a genomic library used to reconstruct a single amplified genome (SAG) affiliated to Candidatus Syntrophoarchaeum.;ENA-FIRST-PUBLIC: 2019-07-10 || ENA-LAST-UPDATE: 2019-06-18;1;3;Microbial communities in oil seeps from ;0,333333333;FALSE;FALSE;unknown
10;DRP004970;Plant pretreatment with rumen fluid;Metagenomics;Metagenomic analysis of lignocellulosic biomass degradation system with cow rumen fluid. We will develop this system for the Project of Next-generation Energies for Tohoku Recovery.;small;NA;NA;1;4;Plant pretreatment with rumen fluid;0,25;FALSE;FALSE;bovine
20;DRP006964;Megaviridae metabarcoding diversity analysis data;Other;We generated raw data using the PolB family DNA polymerase primers of Li et al. (2018) in 8 illumina Miseq runs. This data is mostly generated from a single seawater sample, however three seawater samples were analyzed.;small;NA;NA;1;4;Megaviridae metabarcoding diversity anal;0,25;FALSE;FALSE;unknown
21;DRP007254;Metaepigenomic anaysis of pelagic microbial communities;Metagenomics;In this study, we conducted metaepigenomic analysis using microbial samples collected from four different depth layers at the North-West Pacific Ocean.;small;NA;NA;1;4;Metaepigenomic anaysis of pelagic microb;0,25;FALSE;FALSE;unknown
32;ERP002607;Making and breaking DMS by salt marsh microbes (Illumina MiSeq 250bp);Metagenomics;Study of microbial populations that cycle the globally significant organic sulfur compounds dimethylsulfoniopropionate (DMSP) and dimethylsulfide (DMS) in coastal intertidal sediments.;small;NA;NA;1;4;Making and breaking DMS by salt marsh mi;0,25;FALSE;FALSE;unknown
66;ERP018170;Saliva microbiome of pig in Japan;Other;Metagenomic sequences of microbiome obtained from pig saliva in Japan;small;Metagenomic sequences of microbiome obtained from pig saliva in Japan;ENA-FIRST-PUBLIC: 2019-10-17 || ENA-LAST-UPDATE: 2016-10-18;1;4;Saliva microbiome of pig in Japan;0,25;FALSE;FALSE;unknown
91;ERP108617;Pelagic sediment metagenome of Gulf of Kutch;Other;Study of microflora associated with the Pelagic Sediments of the Gulf of Kutch using metagenomics;small;Study of microflora associated with the Pelagic Sediments of the Gulf of Kutch using metagenomics;ENA-FIRST-PUBLIC: 2020-04-14 || ENA-LAST-UPDATE: 2020-03-23;1;4;Pelagic sediment metagenome of Gulf of K;0,25;FALSE;FALSE;unknown
63;ERP017012;Structure and function of the fecal microbiota in diarrhoeic neonatal piglets;Other;A comprehensive sequencing evaluation of the fecal microbial composition and functional perturbation in the diarrhea condition of suckling piglets.;small;A comprehensive sequencing evaluation of the fecal microbial composition and functional perturbation in the diarrhea condition of suckling piglets.;ENA-FIRST-PUBLIC: 2018-06-29 || ENA-LAST-UPDATE: 2016-10-11;1;5;Structure and function of the fecal micr;0,2;FALSE;FALSE;unknown
70;ERP021385;Viral metagenome study of Han River body;Other;Viral metagenomic study was performed on the Han River body, one of the major river in South Korea. Surface samples were collected from upstream to downstream of the waterbody.;small;Viral metagenomic study was performed on the Han River body, one of the major river in South Korea. Surface samples were collected from upstream to downstream of the waterbody.;ENA-FIRST-PUBLIC: 2019-02-08 || ENA-LAST-UPDATE: 2017-02-09;2;5;Viral metagenome study of Han River body;0,4;FALSE;FALSE;unknown
90;ERP108616;Pelagic sediment metagenome of Gulf of Khambhat;Other;Community structure and pollutant degradation ability of deep sediment microflora of Gulf of Khambhat using culture independent approach;small;Community structure and pollutant degradation ability of deep sediment microflora of Gulf of Khambhat using culture independent approach;ENA-FIRST-PUBLIC: 2020-04-14 || ENA-LAST-UPDATE: 2020-03-23;1;5;Pelagic sediment metagenome of Gulf of K;0,2;FALSE;FALSE;unknown
133;ERP119604;Structure and functions of hydrocarbon-degrading microbial communities in bioelectrochemical systems;Other;Bioelectrochemical systems (BES) exploit the interaction between microbes andelectrodes. A field of application thereof, is bioelectrochemical remediation, an effective strategy inenvironments where the absence of suitable electron acceptors limits classic bioremediationapproaches. Understanding the microbial community structure and genetic potential of anodebiofilms is of great interest to interpret the mechanisms occurring in BES. In this study, by using awhole metagenome sequencing approach, taxonomic and functional diversity patterns in theinoculum and on the anodes of three continuous-flow BES for the removal of phenol, toluene andBTEX were obtained. The genus Geobacter was highly enriched on the anodes and tworeconstructed genomes were taxonomically related to the Geobacteraceae family. To functionallycharacterize the microbial community, the genes coding for the anaerobic degradation of toluene,ethylbenzene and phenol were selected as genetic markers for the anaerobic degradation of thepollutants. The genes related with direct extracellular electron transfer (EET) were also analyzed.The inoculum carried the genetic baggage for the degradation of aromatics but lacked the capacityof EET, while anodic bacterial communities were able to pursuit both processes. Themetagenomic approach provided useful insights into the ecology and complex functions withinhydrocarbon degrading electrogenic biofilms.;small;Bioelectrochemical systems (BES) exploit the interaction between microbes andelectrodes. A field of application thereof, is bioelectrochemical remediation, an effective strategy inenvironments where the absence of suitable electron acceptors limits classic bioremediationapproaches. Understanding the microbial community structure and genetic potential of anodebiofilms is of great interest to interpret the mechanisms occurring in BES. In this study, by using awhole metagenome sequencing approach, taxonomic and functional diversity patterns in theinoculum and on the anodes of three continuous-flow BES for the removal of phenol, toluene andBTEX were obtained. The genus Geobacter was highly enriched on the anodes and tworeconstructed genomes were taxonomically related to the Geobacteraceae family. To functionallycharacterize the microbial community, the genes coding for the anaerobic degradation of toluene,ethylbenzene and phenol were selected as genetic markers for the anaerobic degradation of thepollutants. The genes related with direct extracellular electron transfer (EET) were also analyzed.The inoculum carried the genetic baggage for the degradation of aromatics but lacked the capacityof EET, while anodic bacterial communities were able to pursuit both processes. Themetagenomic approach provided useful insights into the ecology and complex functions withinhydrocarbon degrading electrogenic biofilms.;ENA-FIRST-PUBLIC: 2020-03-23 || ENA-LAST-UPDATE: 2020-01-24;1;5;Structure and functions of hydrocarbon-d;0,2;FALSE;FALSE;unknown
41;ERP009346;Benchmark of metagenome analysis tools;Other;"A set of complex, realistic data sets were simulated based on real Illumina HiSeq 2000 data (100 bp PE reads). Two ""conditions"" consisting of 3 replicates each were used to evaluate the performance of a number of metagenome analysis tools.";small;"A set of complex, realistic data sets were simulated based on real Illumina HiSeq 2000 data (100 bp PE reads). Two ""conditions"" consisting of 3 replicates each were used to evaluate the performance of a number of metagenome analysis tools.";NA;6;6;Benchmark of metagenome analysis tools;1;FALSE;FALSE;unknown
67;ERP019576;Generation of thousands of high-quality, full-length 16S/18S rRNA sequences from complex microbial samples without rRNA primer bias.;Other;NA;small;Generation of thousands of high-quality, full-length 16S/18S rRNA sequences from complex microbial samples without rRNA primer bias.;ENA-FIRST-PUBLIC: 2016-12-21 || ENA-LAST-UPDATE: 2016-11-08;1;6;Generation of thousands of high-quality,;0,166666667;FALSE;FALSE;unknown
130;ERP118688;In this study we assessed the effects of indirect exposure of antibiotics via irrigation water in microbiomes and resistomes composition of soil and Lactuca Sativa (Lettuce) in a controlled setting. We collected samples from soil and roots, and microbiome composition of all samples went through shotgun-sequencing.;Other;In this study we assessed the effects of indirect exposure of antibiotics via irrigation water in resistomes composition of soil and Lactuca Sativa (Lettuce) in a controlled setting. We collected samples from soil and roots, and the resistome through metagenomics methods. We compared soil and roots resistomes of lettuce, grown under irrigation with tap water, and tap water spiked with the ABs selected.;small;In this study we assessed the effects of indirect exposure of antibiotics via irrigation water in resistomes composition of soil and Lactuca Sativa (Lettuce) in a controlled setting. We collected samples from soil and roots, and the resistome through metagenomics methods. We compared soil and roots resistomes of lettuce, grown under irrigation with tap water, and tap water spiked with the ABs selected.;ENA-FIRST-PUBLIC: 2020-06-30 || ENA-LAST-UPDATE: 2019-11-29;2;6;In this study we assessed the effects of;0,333333333;FALSE;FALSE;unknown
132;ERP119294;Shotgun metagenomic sequencing of Lake Slone sediment.;Other;Lake sediments not only store the long-term ecological information, but are also a source of sedimentary ancient DNA (sedaDNA). Here, by combination of traditional multi-proxy paleolimnological methods with the whole-metagenome shotgun-sequencing of sedaDNA we were able to paint a comprehensive picture of the fluctuations in trophy and microbial diversity and metabolism of a small temperate lake in response to hemp retting, across the past 2000 years. Hemp retting (HR), a key step in hemp fibre production, was historically carried out in freshwater reservoirs and had a negative impact on the lake ecosystems. In Lake Slone, we identified two HR events, during the late stage of Roman and Early Medieval periods, and correlated these to increased trophy and imbalanced lake microbiome. The metagenomic analyses showed a higher abundance of Chloroflexi, Planctomycetes and Bacteroidetes and a functional shift towards anaerobic metabolism, including degradation of complex biopolymers such as pectin and cellulose, during HR episodes. The lake eutrophication during HR was linked to the allochthonous, rather than autochthonous carbon supply – hemp straws. We also showed that the identification of HR based on the palynological analysis of hemp pollen may be inconclusive and we suggest employment of the fibre count analysis as an additional and independent proxy.;small;Lake sediments not only store the long-term ecological information, but are also a source of sedimentary ancient DNA (sedaDNA). Here, by combination of traditional multi-proxy paleolimnological methods with the whole-metagenome shotgun-sequencing of sedaDNA we were able to paint a comprehensive picture of the fluctuations in trophy and microbial diversity and metabolism of a small temperate lake in response to hemp retting, across the past 2000 years. Hemp retting (HR), a key step in hemp fibre production, was historically carried out in freshwater reservoirs and had a negative impact on the lake ecosystems. In Lake Slone, we identified two HR events, during the late stage of Roman and Early Medieval periods, and correlated these to increased trophy and imbalanced lake microbiome. The metagenomic analyses showed a higher abundance of Chloroflexi, Planctomycetes and Bacteroidetes and a functional shift towards anaerobic metabolism, including degradation of complex biopolymers such as pectin and cellulose, during HR episodes. The lake eutrophication during HR was linked to the allochthonous, rather than autochthonous carbon supply – hemp straws. We also showed that the identification of HR based on the palynological analysis of hemp pollen may be inconclusive and we suggest employment of the fibre count analysis as an additional and independent proxy.;ENA-FIRST-PUBLIC: 2021-07-21 || ENA-LAST-UPDATE: 2022-11-03;2;6;Shotgun metagenomic sequencing of Lake S;0,333333333;FALSE;FALSE;unknown
148;ERP124503;Shotgun metagenomics of total DNA isolated from intestinal content of wild and domestic animals;Other;Our objective was to investigate and quantify the scale of the AMR phenomenon in several species of domestic and wild animals. We applied shotgun metagenomics of total DNA isolated from intestinal content of animals: turkeys, chickens, pigs, wild boars, foxes and rodents to explore the abundance of different resistance genes, and to examine bacterial and plasmid composition. We also looked at the possible diet of selected animals in the context of AMR spread.;small;Our objective was to investigate and quantify the scale of the AMR phenomenon in several species of domestic and wild animals. We applied shotgun metagenomics of total DNA isolated from intestinal content of animals: turkeys, chickens, pigs, wild boars, foxes and rodents to explore the abundance of different resistance genes, and to examine bacterial and plasmid composition. We also looked at the possible diet of selected animals in the context of AMR spread.;ENA-FIRST-PUBLIC: 2020-11-18 || ENA-LAST-UPDATE: 2020-10-15;3;6;Shotgun metagenomics of total DNA isolat;0,5;FALSE;FALSE;unknown
15;DRP005482;Metaviromic analyses on crane fecal samples;Metagenomics;The objective of this project is to explore novel viruses in feces of wild cranes (Grus spp.) in the Izumi plain, Japan.;small;NA;NA;4;7;Metaviromic analyses on crane fecal samp;0,571428571;FALSE;FALSE;unknown
109;ERP113759;gut microbiota of wild-living fish (V1-3 region, 454 pyrosequencing);Other;NA;small;gut microbiota of wild-living fish (V1-3 region, 454 pyrosequencing);ENA-FIRST-PUBLIC: 2019-02-13 || ENA-LAST-UPDATE: 2019-02-13;1;7;gut microbiota of wild-living fish (V1-3;0,142857143;FALSE;FALSE;unknown
119;ERP116024;Microbial diversity and function of HAUSGARTEN deep-sea sediments;Other;To gain insight into a) the potential of deep-sea surface sediment bacterial assemblages to process organic matter and b) the taxonomic and functional variation across these assemblages, we analyzed a collection of multi-omic data sets. We generated 16S rRNA gene amplicon libraries, as well as metagenomic and -transcriptomic datasets from samples collected along a benthic depth gradient from 1,200 m to 5,500 m at the Arctic long-term ecological research station HAUSGARTEN.;small;NA;ENA-FIRST-PUBLIC: 2021-09-21 || ENA-LAST-UPDATE: 2021-09-21;1;7;Microbial diversity and function of HAUS;0,142857143;FALSE;FALSE;unknown
33;ERP003628;Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist;Metagenomics;Seawater was filtered from different depths to retain small and large cell sizes. The DNA was extracted and submitted to high throughput sequencing.;small;Seawater was filtered from different depths to retain small and large cell sizes. The DNA was extracted and submitted to high throughput sequencing.;ENA-FIRST-PUBLIC: 2013-07-22 || ENA-LAST-UPDATE: 2021-08-02;1;8;Shotgun Sequencing of Tara Oceans DNA sa;0,125;FALSE;FALSE;unknown
47;ERP012232;Metagenomes from full scale mesophilic anaerobic digesters in Denmark;Other;Metagenomes from full scale mesophilic anaerobic digesters in Denmark treating surplus sludge at WWTPs. The samples originate from 3 different plants and are used to provide differential abundance to facilitate genome extraction based on differential coverage binning as described by Albertsen et al 2013;small;Metagenomes from full scale mesophilic anaerobic digesters in Denmark treating surplus sludge at WWTPs. The samples originate from 3 different plants and are used to provide differential abundance to facilitate genome extraction based on differential coverage binning as described by Albertsen et al 2013;NA;1;8;Metagenomes from full scale mesophilic a;0,125;FALSE;FALSE;unknown
52;ERP013742;Metatranscriptomes;Other;tbc;small;tbc;ENA-FIRST-PUBLIC: 2016-08-25 || ENA-LAST-UPDATE: 2016-08-25;1;8;Metatranscriptomes;0,125;FALSE;FALSE;unknown
106;ERP111299;Broiler Caecal Metagenome;Other;Broiler caecal samples were analysed using metagenomics;small;Broiler caecal samples were analysed using metagenomics;ENA-FIRST-PUBLIC: 2020-09-30 || ENA-LAST-UPDATE: 2018-10-04;6;8;Broiler Caecal Metagenome;0,75;FALSE;FALSE;unknown
123;ERP116677;Optimizing sequencing protocols for leaderboard metagenomics by combining long and short reads;Metagenomics;We introduce a low-cost protocol for high throughput library preparation and sequencing;small;NA;ENA-FIRST-PUBLIC: 2019-08-05 || ENA-LAST-UPDATE: 2019-08-03;5;8;Optimizing sequencing protocols for lead;0,625;FALSE;FALSE;unknown
131;ERP119104;Aerosol antibiotic resistance gene dissemination among hospital departments by culture-facilitated comparative metagenomics;Other;Genes make microorganisms resistant to antibiotics are overwhelmingly present in environments, and those in the air seem to consistently worsen human health, especially in built-in hospitals. In this study, we sampled two distinct seasonal solid-, liquid- and gaseous-state samples in a large occupied hospital, and mainly aim to study the temporal and spatial micro-ecology and antibiotic resistance gene (ARG) distribution patterns within hospital settings using culture-facilitated comparative metagenomics in combinations with other widely applied methods.;small;Genes make microorganisms resistant to antibiotics are overwhelmingly present in environments, and those in the air seem to consistently worsen human health, especially in built-in hospitals. In this study, we sampled two distinct seasonal solid-, liquid- and gaseous-state samples in a large occupied hospital, and mainly aim to study the temporal and spatial micro-ecology and antibiotic resistance gene (ARG) distribution patterns within hospital settings using culture-facilitated comparative metagenomics in combinations with other widely applied methods.;ENA-FIRST-PUBLIC: 2020-01-09 || ENA-LAST-UPDATE: 2019-12-23;1;8;Aerosol antibiotic resistance gene disse;0,125;FALSE;FALSE;human
163;ERP129716;Double-stranded RNA meta-transcriptomes from the gut microbiome of calves treated or untreated with florfenicol.;Other;In this study, double-stranded RNA meta-transcriptomes of the gut microbiota of calves were sequenced.  This was part of a study in which calves were treated or untreated with florfenicol.  A sample preparation method was applied to enrich dsRNA and deplete single stranded RNA (ssRNA).  Two sequence library preparation methods were applied to some samples: a standard 'random' cDNA library method (rdm) and small RNA method (sRNA), to enable the results to be compared.;small;In this study, double-stranded RNA meta-transcriptomes of the gut microbiota of calves were sequenced.  This was part of a study in which calves were treated or untreated with florfenicol.  A sample preparation method was applied to enrich dsRNA and deplete single stranded RNA (ssRNA).  Two sequence library preparation methods were applied to some samples: a standard 'random' cDNA library method (rdm) and small RNA method (sRNA), to enable the results to be compared.;ENA-FIRST-PUBLIC: 2021-08-09 || ENA-LAST-UPDATE: 2021-08-09;3;8;Double-stranded RNA meta-transcriptomes ;0,375;FALSE;FALSE;bovine
98;ERP110358;E. coli diversity in healthy and IBD human gut;Other;"Recent studies show that the intestinal microbiota of patients with CD is enriched by adherent-invasive E. coli. The aim of this study was to characterize the diversity of E. coli strains in human fecal samples from healthy people and patients with Crohn's disease (CD). Stool samples were collected from two patients: with diagnosed CD (samples' prefix ""CD64"") and without any observed symptoms of the gastrointestinal disorders (samples' prefix ""1-39""). For each individual, different E. coli morphotypes on Endo medium tested for hemolytic activity as well as mixed colony suspensions from Endo plates were analyzed through the whole genome sequencing on Illumina Miseq platform. Here we present the raw reads for 9 samples, including 2 bacterial suspensions (1-39-10-2, CD64-0-5) and 7 single E. coli colonies (1-39-1, 1-39-12, CD64-2, CD64-3, CD64-5, CD64-9, CD64-12).";small;"Recent studies show that the intestinal microbiota of patients with CD is enriched by adherent-invasive E. coli. The aim of this study was to characterize the diversity of E. coli strains in human fecal samples from healthy people and patients with Crohn's disease (CD). Stool samples were collected from two patients: with diagnosed CD (samples' prefix ""CD64"") and without any observed symptoms of the gastrointestinal disorders (samples' prefix ""1-39""). For each individual, different E. coli morphotypes on Endo medium tested for hemolytic activity as well as mixed colony suspensions from Endo plates were analyzed through the whole genome sequencing on Illumina Miseq platform. Here we present the raw reads for 9 samples, including 2 bacterial suspensions (1-39-10-2, CD64-0-5) and 7 single E. coli colonies (1-39-1, 1-39-12, CD64-2, CD64-3, CD64-5, CD64-9, CD64-12).";ENA-FIRST-PUBLIC: 2018-08-12 || ENA-LAST-UPDATE: 2018-08-12;1;9;E. coli diversity in healthy and IBD hum;0,111111111;FALSE;TRUE;human
