;bioproject;study_title;study_type;study_abstract;verdict;study_description;study_attribute;matching_biosample_count;total_biosample_count;short_title;prevalence_raw;twin_study;healthy_study;species_study
1;DRP000701;Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).;Other;13 individual of Japanese patients with multiple sclerosis.  Microbial DNA was sequenced using a 454 GS FLX titanium (Roche).;small;NA;NA;1;1;Metgenomic analysis of human gut microbi;1;FALSE;FALSE;human
2;DRP001306;Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory;Metagenomics;"Polyamines (PAs), such as putrescine, Spermidine, and spermine are related with cvarious bioactivity include strong anti-inflammatory function. Increasing PA concentration in intestine using probiotics; Bifidobacterium animalis subsp. lactis LKM512 caused inhibition of senescence and enhancing longevity of mice. We found that Arg intake also showed increase PAs concentration especially Putrescine. Mouse intakes Arg and LKM 512 resulted inhibited systemic inflammation, prolonged longevity, promoted spatial learning and memory. Metagenome analysis of intestinal mictobiota in those mice showed that detection of PA synthesis-related gene were different significantly between control and test mice.";small;NA;NA;1;1;Metagenome analysis of fecal microbiota ;1;FALSE;FALSE;unknown
3;DRP001307;Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory;Metagenomics;"Polyamines (PAs), such as putrescine, Spermidine, and spermine are related with cvarious bioactivity include strong anti-inflammatory function. Increasing PA concentration in intestine using probiotics; Bifidobacterium animalis subsp. lactis LKM512 caused inhibition of senescence and enhancing longevity of mice. We found that Arg intake also showed increase PAs concentration especially Putrescine. Mouse intakes Arg and LKM 512 resulted inhibited systemic inflammation, prolonged longevity, promoted spatial learning and memory. Metagenome analysis of intestinal mictobiota in those mice showed that detection of PA synthesis-related gene were different significantly between control and test mice.";small;NA;NA;1;1;Metagenome analysis of fecal microbiota ;1;FALSE;FALSE;unknown
4;DRP001940;Whole genome sequencing of Digital Dermatitis;Other;NA;small;NA;NA;1;1;Whole genome sequencing of Digital Derma;1;FALSE;FALSE;unknown
5;DRP003078;Metagenomic analyses of the RNA viral communities in a diatom colony;Other;We performed metagenomic analyses for RNA viral community by targeting long dsRNA in cellular organisms, a hallmark of infection or replication of both dsRNA and ssRNA viruses except for retroviruses. Colonies of a diatom on tidal rocks in Tokyo Bay (35.3405 N, 139.6396 E) were sampled at April 2014. Purified dsRNAs from the diatom colony were specifically converted into dsDNA, and resultant dsDNAs were sequenced by the Illumina MiSeq platform.;small;We performed metagenomic analyses for RNA viral community by targeting long dsRNA in cellular organisms, a hallmark of infection or replication of both dsRNA and ssRNA viruses except for retroviruses. Colonies of a diatom on tidal rocks in Tokyo Bay (35.3405 N, 139.6396 E) were sampled at April 2014. Purified dsRNAs from the diatom colony were specifically converted into dsDNA, and resultant dsDNAs were sequenced by the Illumina MiSeq platform.;NA;1;1;Metagenomic analyses of the RNA viral co;1;FALSE;FALSE;unknown
157;ERP127026;Metagenome data for Ageing and Rejuvenation model;Other;The gut microbiota is significantly associated with diverse age-related disorders, such as frailty and intestinal disorders. Rejuvenation methods such as probiotics, co-housing, and faecal microbiota transplantation have been applied to alter the gut microbiome of aged mice and promote healthy ageing. Nevertheless, the prolongation of the healthspan of aged mice by remodelling of gut microbiome is still challenging. Here, we report the change of key communities and their functions during ageing and three rejuvenation procedures based on model mice. Our results show that the microbial composition and gene abundance of the intestinal microbiota changed dynamically during the ageing process. Through three rejuvenation procedures, we found the microbial community and intestinal immunity of old mice can be transformed to comparable levels to that of young mice. The results of metagenomic data analysis underscore the importance of the high abundance of Akkermansia and butyrate biosynthesis pathway in rejuvenated mice group. Further, our results demonstrated oral administration of Akkermansia sufficiently ameliorates senescence-related phenotype in the intestinal and hematopoietic system in aged mice and extend healthspan evidenced by frailty index and restoration of muscle atrophy. These data could provide a rationale for developing therapeutic strategies for achieving healthy active ageing.;small;The gut microbiota is significantly associated with diverse age-related disorders, such as frailty and intestinal disorders. Rejuvenation methods such as probiotics, co-housing, and faecal microbiota transplantation have been applied to alter the gut microbiome of aged mice and promote healthy ageing. Nevertheless, the prolongation of the healthspan of aged mice by remodelling of gut microbiome is still challenging. Here, we report the change of key communities and their functions during ageing and three rejuvenation procedures based on model mice. Our results show that the microbial composition and gene abundance of the intestinal microbiota changed dynamically during the ageing process. Through three rejuvenation procedures, we found the microbial community and intestinal immunity of old mice can be transformed to comparable levels to that of young mice. The results of metagenomic data analysis underscore the importance of the high abundance of Akkermansia and butyrate biosynthesis pathway in rejuvenated mice group. Further, our results demonstrated oral administration of Akkermansia sufficiently ameliorates senescence-related phenotype in the intestinal and hematopoietic system in aged mice and extend healthspan evidenced by frailty index and restoration of muscle atrophy. These data could provide a rationale for developing therapeutic strategies for achieving healthy active ageing.;ENA-FIRST-PUBLIC: 2021-06-11 || ENA-LAST-UPDATE: 2021-06-11;1;1;Metagenome data for Ageing and Rejuvenat;1;FALSE;TRUE;unknown
39;ERP009244;Comparison of distal gut microbiota structure and function in US and Egyptian children;Other;Cultural traditions, diet, and lifestyles of ethnic groups living in different geographic locations can serve as a source of variability in human gut microbiota. To examine the differences in gut microbiome of geographically distinct populations, we have carried out phylogenetic, functional, and metabolite analyses of the distal gut microbiota of healthy adolescents from United States and Egypt using next generation high-throughput sequencing.;small;Cultural traditions, diet, and lifestyles of ethnic groups living in different geographic locations can serve as a source of variability in human gut microbiota. To examine the differences in gut microbiome of geographically distinct populations, we have carried out phylogenetic, functional, and metabolite analyses of the distal gut microbiota of healthy adolescents from United States and Egypt using next generation high-throughput sequencing.;ENA-FIRST-PUBLIC: 2017-01-12 || ENA-LAST-UPDATE: 2015-01-11;1;2;Comparison of distal gut microbiota stru;0,5;FALSE;TRUE;human
44;ERP010479;Marine metagenomes and metatranscriptomes from 3 sediment samples along a pH gradient in Papua New Guinea;Metagenomics;Sediment microbial communities are key players in biogeochemical cycling and the remineralization of organic matter on tropical reefs. To better understand the long-term effects of low pH conditions on sediment microbial communities, microbial diversity and community composition were investigated at naturally CO2-rich tropical coral reefs in Papua New Guinea. Metagenomic and metatranscriptomic analyses will reveal insights into the response of sediment microbial communities and their functions to low pH environments.;small;Sediment microbial communities are key players in biogeochemical cycling and the remineralization of organic matter on tropical reefs. To better understand the long-term effects of low pH conditions on sediment microbial communities, microbial diversity and community composition were investigated at naturally CO2-rich tropical coral reefs in Papua New Guinea. Metagenomic and metatranscriptomic analyses will reveal insights into the response of sediment microbial communities and their functions to low pH environments.;ENA-FIRST-PUBLIC: 2019-01-09 || ENA-LAST-UPDATE: 2016-02-22;1;2;Marine metagenomes and metatranscriptome;0,5;FALSE;FALSE;unknown
53;ERP013851;Metagenome and viral metagenome fraction isolated from Blanes (Mediterranean Sea);Other;Surface seawater samples were collected form the Blanes Bay Microbial Observatory (BBMO) in the north-western Mediterranean Sea, and they was used for metaviromics and metagenomics analyses.;small;Surface seawater samples were collected form the Blanes Bay Microbial Observatory (BBMO) in the north-western Mediterranean Sea, and they was used for metaviromics and metagenomics analyses.;NA;1;2;Metagenome and viral metagenome fraction;0,5;FALSE;FALSE;unknown
78;ERP104558;Microbial functional diversity and its dynamics during seed germination and emergence;Other;In this project, we aim to apply metagenomics approaches to uncover the function of the seed microbiota and its changes during germination and emergence. We will try to reveal through metagenomics the genetic content of this microbiota in seeds, germinating seeds and seedlings from 2 different plant families (Fabaceae and Brassicaceae). The study of the differences in gene abundance during germination and emergence in these plant species will reveal novel insights regarding the function and colonizing strategies of microorganisms in seeds and young plants.;small;In this project, we aim to apply metagenomics approaches to uncover the function of the seed microbiota and its changes during germination and emergence. We will try to reveal through metagenomics the genetic content of this microbiota in seeds, germinating seeds and seedlings from 2 different plant families (Fabaceae and Brassicaceae). The study of the differences in gene abundance during germination and emergence in these plant species will reveal novel insights regarding the function and colonizing strategies of microorganisms in seeds and young plants.;ENA-FIRST-PUBLIC: 2018-05-22 || ENA-LAST-UPDATE: 2017-09-29;1;2;Microbial functional diversity and its d;0,5;FALSE;FALSE;unknown
