"";"human";"OTHER"
"Mouth";56;0
"mucus";0;21
"mud/sand";0;0
"multicellular organism [UBERON:0000468]";339;82
"na";28;0
"NA";22;0
"nasal";656;0
"nasal cavity";2012;0
"natural water and sediment";0;0
"NE Atlantic";0;0
"Near shore reef";0;0
"negative control";1;0
"Negative control";7;0
"negative control1";0;0
"negative control2";0;0
"negative control3";0;0
"negative control4";0;0
"negative control5";0;0
"negative control6";0;0
"negative control7";0;0
"negative control8";0;0
"neritic epipelagic zone";0;0
"neritic epipelagic zone biome";0;0
"neritic epipelagic zone biome [ENVO:01000042]";0;0
"neritic epipelagic zone biome ENVO:01000042";0;0
"neritic sea surface microlayer biome";0;0
"neritic sub-littoral zone";0;1
"normal site";1;0
"North Pacific Subtropical Gyre";0;12
"not applicable";0;0
"Not applicable";197;0
"Not Applicable (NA)";0;0
"not collected";737;0
"not described";0;0
"not spplicable";0;0
"ocean";0;14
"Ocean";0;1
"ocean biom";0;0
"ocean biome";0;0
"Ocean Biome";0;0
"ocean biome  [ENVO:01000048]";0;0
"ocean biome [ENVO:01000048]";0;0
"Ocean biome ENVO:01000048";0;0
"Ocean Reef";0;0
"ocean surface";0;0
"ocean water";0;0
"Ocean water";0;0
"Ocean, Temperate, Oligotrophic";0;0
"ocean, this term applies to plant growth forms.";0;0
"ocean_biome";0;0
"Oceanic";0;0
"oceanic abyssopelagic zone biome";0;0
"oceanic bathypelagic zone";0;0
"oceanic bathypelagic zone biome";0;0
"oceanic epipelagic zone";0;0
"oceanic epipelagic zone biome";0;0
"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome [ENVO_01000339]";0;0
"oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339]";0;0
"oceanic hadal pelagic zone biome";0;0
"oceanic mesopelagic zone biome";0;0
"oceanic mesopelagic zone biome ENVO:01000036";0;0
"oceanic sea surface microlayer biome ENVO:01000034";0;0
"Oil drilling waste recycling plant";0;0
"Oil polluted aspen rhizosphere";0;57
"oil polluted sandy soil";0;45
"oil well";0;0
"old field";303;0
"oligotrophic";0;0
"open ocean";0;0
"oral";377;0
"Oral";1;0
"oral cavity";136;0
"Oral cavity";94;0
"oral microbiome";1;0
"oral opening";136;0
"organic feature";0;9
"organic matter fall";0;2
"organism-associated habitat";0;123
"organism substance";0;0
"outer slope of the reef";0;0
"oxygen deficient zone";0;0
"Pacific coast";0;0
"Pacific Maritime";0;0
"paleome";0;0
"palm oil mill effluent";0;0
"park land";0;0
"parkland";0;0
"Parkland";0;0
"pasture";0;0
"Pasture";0;0
"Patient1_Buccal";1;0
"Patient1_Dorsal";1;0
"Patient1_Saliva";1;0
"Patient1_tooth12";1;0
"Patient1_tooth19";1;0
"Patient1_tooth25";1;0
"Patient1_tooth28";1;0
"Patient1_tooth30";1;0
"Patient1_tooth9";1;0
"Patient1_Ventral";1;0
"Patient10_Buccal";1;0
"Patient10_Dorsal";1;0
"Patient10_tooth19";1;0
"Patient10_tooth25";1;0
"Patient10_tooth3";1;0
"Patient10_tooth30";1;0
"Patient10_tooth9";1;0
"Patient10_ToothA";1;0
"Patient10_ToothI";1;0
"Patient10_Ventral";1;0
"Patient11_Buccal";1;0
"Patient11_Dorsal";1;0
"Patient11_Saliva";1;0
"Patient11_tooth12";1;0
"Patient11_tooth19";1;0
"Patient11_tooth25";1;0
"Patient11_tooth28";1;0
"Patient11_tooth3";1;0
"Patient11_tooth30";1;0
"Patient11_tooth9";1;0
"Patient11_Ventral";1;0
"Patient12_Buccal";1;0
"Patient12_Dorsal";1;0
"Patient12_Saliva";1;0
"Patient12_toothA";1;0
"Patient12_toothE";1;0
"Patient12_toothI";1;0
"Patient12_toothP";1;0
"Patient12_toothT";1;0
"Patient13_Buccal";1;0
"Patient13_Dorsal";1;0
"Patient13_Saliva";1;0
"Patient13_tooth12";1;0
"Patient13_tooth19";1;0
"Patient13_tooth25";1;0
"Patient13_tooth3";1;0
"Patient13_tooth30";1;0
"Patient13_tooth9";1;0
"Patient13_Ventral";1;0
"Patient14_Buccal";1;0
"Patient14_Dorsal";1;0
"Patient14_Saliva";1;0
"Patient14_Ventral";1;0
"Patient15_Buccal";1;0
"Patient15_Dorsal";1;0
"Patient15_Saliva";1;0
"Patient15_Ventral";1;0
"Patient16_Buccal";1;0
"Patient16_Saliva";1;0
"Patient16_Ventral";1;0
"Patient17_Buccal";1;0
"Patient17_Dorsal";1;0
"Patient17_Saliva";1;0
"Patient17_Ventral";1;0
"Patient2_Buccal";1;0
"Patient2_Dorsal";1;0
"Patient2_tooth12";1;0
"Patient2_tooth19";1;0
"Patient2_tooth25";1;0
"Patient2_tooth28";1;0
"Patient2_tooth30";1;0
"Patient2_tooth9";1;0
"Patient2_Ventral";1;0
"Patient3_Buccal";1;0
"Patient3_Dorsal";1;0
"Patient3_Saliva";1;0
"Patient3_tooth12";1;0
"Patient3_tooth19";1;0
"Patient3_tooth25";1;0
"Patient3_tooth28";1;0
"Patient3_tooth3";1;0
"Patient3_tooth30";1;0
"Patient3_tooth9";1;0
"Patient3_toothA";1;0
"Patient3_Ventral";1;0
"Patient4_Buccal";1;0
"Patient4_Dorsal";1;0
"Patient4_Saliva";1;0
"Patient4_tooth19";1;0
"Patient4_tooth25";1;0
"Patient4_tooth3";1;0
"Patient4_tooth30";1;0
"Patient4_tooth9";1;0
"Patient4_toothA";1;0
"Patient4_toothT";1;0
"Patient4_Ventral";1;0
"Patient6_Buccal";1;0
"Patient6_Dorsal";1;0
"Patient6_Saliva";1;0
"Patient6_tooth12";1;0
"Patient6_tooth19";1;0
"Patient6_tooth25";1;0
"Patient6_tooth28";1;0
"Patient6_tooth3";1;0
"Patient6_tooth30";1;0
"Patient6_tooth9";1;0
"Patient6_Ventral";1;0
"Patient7_Buccal";1;0
"Patient7_Dorsal";1;0
"Patient7_Saliva";1;0
"Patient7_tooth12";1;0
"Patient7_tooth19";1;0
"Patient7_tooth25";1;0
"Patient7_tooth28";1;0
"Patient7_tooth3";1;0
"Patient7_tooth30";1;0
"Patient7_tooth9";1;0
"Patient7_Ventral";1;0
"Patient8_Buccal";1;0
"Patient8_Dorsal";1;0
"Patient8_Saliva";1;0
"Patient8_tooth12";1;0
"Patient8_tooth19";1;0
"Patient8_tooth25";1;0
"Patient8_tooth28";1;0
"Patient8_tooth3";1;0
"Patient8_tooth30";1;0
"Patient8_tooth9";1;0
"Patient8_Ventral";1;0
"Patient9_Buccal";1;0
"Patient9_Dorsal";1;0
"Patient9_Saliva";1;0
"Patient9_tooth19";1;0
"Patient9_tooth25";1;0
"Patient9_tooth28";1;0
"Patient9_tooth3";1;0
"Patient9_tooth30";1;0
"Patient9_tooth9";1;0
"Patient9_toothI";1;0
"Patient9_Ventral";1;0
"PCB sediment";0;0
"PCO:1000004";52;0
"pcr_reagents";1;0
"peat soil";0;0
"peatland";0;0
"pelagic ocean";0;0
"periurban shantytown";68;0
"permafrost";0;0
"Perturbed soil";0;0
"phosphogypsum waste heap soil";0;0
"Phragmites australis location1";0;0
"Phragmites australis location2";0;0
"Phragmites australis location3";0;0
"Phyllosphere";0;12
"pig";0;185
"Pig";0;90
"pig feces";0;0
"pig gut";0;295
"pig manure";0;90
"Pitchers";0;0
"plankton community";0;0
"plant";0;1
"Plant-associated biome";0;2
"plant_root-associated";0;85
"plastic marine debris";0;0
"polar biome";0;0
"Polar biome";0;0
"Polar Biome";0;0
"polar desert biome";0;0
"polar desert biome (ENVO:01000186)";0;0
"pond";0;0
"Porifera";0;8
"Posterior body half";0;0
"pot";0;0
"Potato field";0;44
"poultry";0;178
"poultry farm";0;1
"Praires";0;0
"prairie";15;0
"prarie";0;0
"prepared meals";0;0
"Production facility";0;66
"Prokaryotes";0;0
"Protist";0;0
"Pseudostem";0;36
"Puna";0;0
"quatic biome";0;0
"rangeland";0;0
"rangeland biome";0;155
"Rangeland biome";0;0
"rangeland biome (ENVO:01000247)";0;48
"reagent";0;0
"Recirculating Acaqulture System";0;12
"reproductive structure";323;0
"Reservoir";0;0
"respiratory";16;0
"respiratory airway";82;0
"Respiratory tract";89;0
"Rhizosphere";0;1768
"rhizosphere sediments";0;0
"Rhizosphere soil";0;0
"river";0;0
"River";0;2
"RIVER";0;0
"River sediment";0;0
"root";0;132
"Roots";0;10
"rough grass terrain";0;0
"rumen";0;72
"Rumen";0;34
"rumen fluid";0;24
"Rumen microbiome";0;112
"Rural";0;16
"rural village";129;0
"salamander skin";0;0
"saline evaporation pond";0;0
"saline pan";0;0
"saline pond";0;0
"saline sediment environment";0;0
"saliva";145;0
"Saliva";98;0
"salt flat";0;0
"salt lake";0;0
"salt marsh";0;0
"Salt Marsh";0;0
"salt water";0;0
"Saltern";0;0
"Saltmarsh";0;0
"sample-AB09";0;0
"sample-AS09";0;0
"sample-BB09";0;0
"sample-BS09";0;0
"sample-CB09";0;0
"sample-CS09";0;0
"sample-DB09";0;0
"sample-DS09";0;0
"sand";0;0
"Sand";0;0
"Savana";0;0
"Scots pine forest";0;0
"sea";0;53
"Sea";0;0
"Sea beach";0;0
"sea ice";0;0
"Sea surface water";0;0
"sea water";0;0
"Sea Water";0;0
"sea water(ENVO:00002149)";0;0
"seafloor";0;0
"seamount";0;0
"seawater";0;0
"Seawater";0;0
"seawater biome";0;0
"seawater column";0;0
"seawater from aquaculture system";0;0
"seawater microbiome";0;0
"sediment";0;0
"Sediment";0;0
"Sediment sample";0;0
"Sediment surface";0;0
"sediment22";0;0
"sedimentary";0;0
"Sediments";0;0
"sediments of lake";0;0
"see floor";0;0
"Semi-Arid Plateaux";0;0
"Semi_Arid_Plateau";0;0
"Semiarid";0;0
"Sequencing Batch Reactor";0;0
"Severely preterm infant";342;0
"sewage sludge";0;0
"sewage system";23;0
"sheep host";0;1
"shower hose biofilms";0;0
"Shower hoses";0;0
"Shrimp aquaculture";0;0
"Shrimp aquaculture farm";0;0
"shrubland biome";0;0
"silty";0;0
"simulated";0;0
"skin";14;0
"Skin";96;0
"skin epidermis";0;275
"sludge";530;0
"Sludge";0;0
"Small intestine";0;2
"small lake biome";0;0
"Small lake biome";0;0
"Small lake biome [ENVO:00000892]";0;0
"small lake biome ENVO_00000892";0;0
"small river";0;0
"small river biome";0;0
"small river biome biome";0;0
"snail microbiome";0;92
"snow";0;0
"soil";0;509
"Soil";0;23
"Soil forest";0;0
"soil(ENVO:00001998)";0;0
"soil_environment";0;0
"solar saltern";0;0
"solid surface layer";0;0
"Solid waste";0;0
"soybean corn rotation agricultural field";0;327
"Space station";0;0
"SPF";0;0
"Sputum";137;0
"sputum biome";8;0
"stable";0;0
"stem";0;27
"stool";0;23
"stream";0;0
"Suaeda salsa location1";0;0
"Suaeda salsa location2";0;0
"Suaeda salsa location3";0;0
"Sub-arctic tundra";0;0
"Sub tropical";0;0
"subarctic forest";0;14
"subarctic ocean";0;0
"subpolar coniferous forest biome";0;0
"subseafloor sediment";0;0
"Subsurface";0;0
"subsurface water";0;0
"subterrestrial habitat";0;0
"subtidal sediment";0;0
"subtidal zone";0;0
"subtropical broadleaf forest biome";0;0
"subtropical coastal water";0;0
"subtropical forest";0;1
"subtropical rainforest";0;35
"Sundarbans estuary";0;0
"Surface marine water";0;0
"surface seawater";0;0
"surface sediment";0;0
"Surface sediment";0;0
"surface sediments";0;0
"surface water";0;0
"Surface Water";0;0
"suspended biomass from biological reactor treating wastewater";0;0
"Swamp";0;0
"swine";0;46
"synthetic";3;0
"taiga";0;0
"Taiga Cordillera";0;0
"Taiga Plains";0;0
"tailing";0;0
"Tailing";0;0
"Teku kana";0;0
"temperate";0;0
"Temperate";0;0
"temperate biome;soil";0;0
"temperate broadleaf and mixed forest biome";0;0
"Temperate broadleaf and mixed forests";0;0
"temperate broadleaf evergreen forest";0;791
"Temperate Broadleaf forest";0;0
"temperate broadleaf forest biome";0;0
"temperate coastal marine";0;0
"Temperate Conifer Forest";0;0
"temperate coniferous forest biome";0;0
"Temperate coniferous forests";0;0
"temperate deciduous";0;0
"Temperate deciduous broadleaf forest";0;0
"temperate forest";0;149
"temperate grassland";0;1
"Temperate grassland";0;0
"temperate grassland biome";0;59
"temperate grassland biome ENVO:01000193";0;0
"Temperate grasslands";0;0
"temperate grasslands, savannas, and shrubland biome";0;0
"Temperate hardwood forest";0;10
"temperate marine upwelling biome";0;0
"temperate marine upwelling biome [ENVO:01000860]";0;0
"temperate mediterranean sea biome";0;0
"temperate mixed forest biome";0;0
"temperate mixed forest biome [ENVO:01000212]";0;0
"Temperate shelf and sea biome";0;0
"temperate shrubland biome";120;0
"temperate stream";0;0
"temperate woodland";0;9
"Temperate Woodland biome";0;0
"Temperate Woodland Biome";0;0
"Temperate woodland biome [ENVO:01000221]";0;0
"terrestial biome";0;0
"terrestrial";0;36
"Terrestrial";0;413
"TERRESTRIAL";0;0
"terrestrial artificial anaerobic";0;0
"terrestrial biome";1681;313
"Terrestrial biome";0;0
"Terrestrial Biome";0;0
"terrestrial biome [ENVO:00000446]";394;0
"Terrestrial biome [ENVO:00000446]";0;0
"terrestrial biome ENVO:00000446";70;0
"Terrestrial biome ENVO:00000446";0;140
"terrestrial environmental zone";0;0
"terrestrial geothermal fumarole";0;0
"terrestrial habitat(ENVO:00002009)";0;0
"terrestrial studies";0;0
"terrestrial subsurface";0;0
"The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope.";0;0
"The Pampas";0;0
"The soil was collected from an experimental area during soybean cultivation, at the R5 stage of the crop, after inoculation of Pseudomonas fluorescens";0;0
"The soil was collected from an experimental area during soybean cultivation, at the R5 stage of the crop.";0;0
"thermokarst ponds";0;0
"Thermophilic biogas plant";0;0
"This is a filtered seawater sample";0;0
"tidewater glacier";0;0
"Trades Biome";0;0
"transportation";47;0
"tropic orchard";0;0
"Tropical";0;60
"Tropical and subtropical moist broadleaf forest biome";0;0
"tropical and subtropical regions";0;0
"tropical broadleaf forest biome";0;0
"tropical coniferous forest biome";0;0
"tropical dry broadleaf forest biome";0;0
"tropical island";0;160
"tropical moist broadleaf forest biome";0;0
"tropical rainforest";0;0
"Tropical rainforest";0;35
"tropical river";0;0
"tropical semi-deciduous broadleaf forest";0;21
"tropical shrubland biome";0;0
"trunk";0;37
"tundra";0;0
"Tundra";0;0
"tundra biome";0;0
"tundrar biome";0;0
"UBERON:0004111";0;0
"under-ice water";0;0
"unknown";0;0
"Upflow anaerobic sludge blanket and membrane aerated biofilm reactor";0;0
"urban";260;0
"Urban";0;0
"Urban Biom";0;0
"urban biome";5878;766
"Urban terrestrial grassland and tidal saltmarshes";0;0
"urine";231;0
"vagina";2640;0
"vaginal";39;0
"vaginal sample";44;0
"village";0;0
"village biome";749;99
"village biome [ENVO:01000246]";0;4
"village biome ENVO:01000246";0;0
"village biome[ENVO:01000246]";0;1273
"vineyard";0;42
"Vivarium";0;11
"volar forearm";259;0
"Volcanic";0;0
"VSF CW";0;0
"Wadden Sea Northern Germany";0;0
"waste material";0;113
"wastewater";0;0
"Wastewater";0;0
"Wastewater sludge";0;0
"wastewater treatment plant";0;0
"Wastewater treatment plant";0;0
"Wastewater Treatment Plant";0;0
"wastewater/sludge";0;0
"water";34;1
"Water";4;0
"water and sediment in basin experimen";0;0
"water and sediment in basin experiment";0;0
"water bacterioplankton";0;0
"water body";0;0
"water column";0;0
"water line";0;0
"water sources, duck cecum";0;0
"water surface";0;0
"water trough";0;0
"water well";0;0
"West texas ranch horses";0;0
"Westerlies Biome";0;0
"wetland";0;0
"Wetland";0;0
"Wild flower meadow";0;0
"Wood";0;6
"Woodland";0;7
"Woodland biome";0;0
"Woodlands";0;0
"xeric basin";0;0
"Xeric basin biome";0;0
"Xeric shrubland biome";0;2
"young leaf";0;10
"young Spartina alterniflora patch 1";0;0
"young Spartina alterniflora patch 2";0;0
"young Spartina alterniflora patch 3";0;0
"Zoig wetland-associated";0;0
"zone of skin";108;0
